model,N,MAE,RMSE,MedAE,P90AE,MaxAE,Bias,R2,ShapeCorr,Skill_MAE,Skill_RMSE,MASE,MAE_transit,RMSE_transit,MAE_quiet,dip_recovery_slope,dip_floor_MAE,detect_AUC,detect_AP
persistence,400,6588.594219647348,10416.890888315329,2998.9778995513916,18953.406810760498,81934.57126617432,206.67170640081167,-0.13735427049236026,nan,0.0,0.0,1.0,6139.398257179958,9663.95956576156,6913.744972954536,0.0,13798.975363010313,0.6232127838519764,0.5180474290521496
lstm,400,5421.819193288684,8740.405829816555,2334.296703338623,15406.119823455816,77953.040599823,-443.7278304249048,0.1992762164720272,0.007454054139164025,0.17709013295724185,0.1609391013569409,0.8229098670427581,5406.935313125936,8648.973715227941,5729.111328977963,0.01543576704270936,12549.978930775713,0.6631623212783853,0.5519721872748509
transformer,400,6589.648821391165,10416.488365484605,2987.116575241089,18799.620866775516,81821.79927825928,117.84284841269255,-0.13726637435901634,0.004098083932890888,-0.0001600647586814663,3.864135998343787e-05,1.0001600647586815,6138.479518817692,9655.061679970977,6914.48881066051,0.027395590380826076,13280.150366992486,0.6215306980656014,0.5165197678967045
