model,MAE_all,MAE_transit,MAE_quiet,RMSE_transit
persistence,0.006588594522327185,0.0066147735342383385,0.0013788621872663498,0.010442287661135197
lstm,0.005421819165349007,0.005442555993795395,0.0012953318655490875,0.008761540055274963
transformer,0.006589648779481649,0.006615425460040569,0.0014600679278373718,0.010441792197525501
