sector,tic_id,windows,status
25,257305998,100,kept
25,274222402,100,kept
25,420114439,100,kept
25,219493088,100,kept
25,237098588,100,kept
25,351594106,100,kept
25,284856625,100,kept
25,52851609,100,kept
25,9730456,100,kept
25,311275985,100,kept
26,649314102,100,kept
26,356238981,100,kept
26,441608536,100,kept
26,363859338,100,kept
26,233211421,100,kept
26,289582918,100,kept
26,420645189,100,kept
26,333151036,100,kept
26,459978577,100,kept
26,257821410,100,kept
27,32150672,100,kept
27,466277085,100,kept
27,291065233,100,kept
27,138993695,100,kept
27,424944268,100,kept
27,267063536,100,kept
27,273308005,100,kept
27,91192077,100,kept
27,410463477,100,kept
27,394346780,100,kept
28,220483780,100,kept
28,38696105,100,kept
28,260241701,100,kept
28,89039719,100,kept
28,139991495,100,kept
28,350840417,100,kept
28,69746547,100,kept
28,29834988,100,kept
28,630705685,100,kept
28,2028349753,100,kept
29,140598179,100,kept
29,370137314,100,kept
29,257720227,100,kept
29,382419656,100,kept
29,80438414,100,kept
29,144433451,100,kept
29,214664495,100,kept
29,25155510,100,kept
29,650285932,100,kept
29,650561395,100,kept
30,381974367,100,kept
30,423360793,100,kept
30,393483049,100,kept
30,165161881,100,kept
30,220436523,100,kept
30,241711918,100,kept
30,114504596,100,kept
30,142178421,100,kept
30,63943868,100,kept
30,38905538,100,kept
31,308245695,100,kept
31,12606950,100,kept
31,36757195,100,kept
31,44682479,100,kept
31,49908229,100,kept
31,179082619,100,kept
31,177179102,100,kept
31,219239743,100,kept
31,101016472,100,kept
31,38631136,100,kept
32,4378674,100,kept
32,219403159,100,kept
32,454148275,100,kept
32,178995060,100,kept
32,349964939,100,kept
32,141482069,100,kept
32,77477283,100,kept
32,142085649,100,kept
32,456888963,100,kept
32,684070,100,kept
33,36551851,100,kept
33,157003013,100,kept
33,55663141,100,kept
33,235067975,100,kept
33,262386586,100,kept
33,142052608,100,kept
33,143078111,100,kept
33,231808293,100,kept
33,23031858,100,kept
33,157743738,100,kept
34,55604441,100,kept
34,184724339,100,kept
34,54280435,100,kept
34,737705489,100,kept
34,122720255,100,kept
34,5664128,100,kept
34,184237309,100,kept
34,412573902,100,kept
34,114798403,100,kept
34,183407026,100,kept
35,262713927,100,kept
35,176983552,100,kept
35,22083423,100,kept
35,262712617,100,kept
35,382626022,100,kept
35,350954351,100,kept
35,269341244,100,kept
35,45811177,100,kept
35,146036695,100,kept
35,310645192,100,kept
36,146715928,100,kept
36,457833834,100,kept
36,144189004,100,kept
36,358336282,100,kept
36,309615966,100,kept
36,53575097,100,kept
36,429181615,100,kept
36,303692358,100,kept
37,806599595,100,kept
37,449486448,100,kept
37,350744678,100,kept
37,38680734,100,kept
37,149970589,100,kept
37,144076410,100,kept
37,437668472,100,kept
37,284196649,100,kept
37,142146051,100,kept
37,156619344,100,kept
38,453459331,100,kept
38,293973445,100,kept
38,32152015,100,kept
38,349679418,100,kept
38,454323762,100,kept
38,260507598,100,kept
38,121629113,100,kept
38,180022216,100,kept
38,383635186,100,kept
38,425591703,100,kept
39,412152454,100,kept
39,307397254,100,kept
39,263484959,100,kept
39,25155984,100,kept
39,343451767,100,kept
39,291417201,100,kept
39,210518257,100,kept
39,418427131,100,kept
39,216860226,100,kept
40,137151335,100,kept
40,154008972,100,kept
40,322524383,100,kept
40,441594250,100,kept
40,230283959,100,kept
40,160491815,100,kept
40,270780321,100,kept
40,423262727,100,kept
40,298600418,100,kept
40,355668498,100,kept
41,287135197,100,kept
41,236781290,100,kept
41,147879459,100,kept
41,362313008,100,kept
41,282458419,100,kept
41,159335253,100,kept
41,376883820,100,kept
41,310934741,100,kept
41,258202644,100,kept
42,388766254,100,kept
42,468357515,100,kept
42,4612575,100,kept
42,456907323,100,kept
42,347440529,100,kept
42,248988911,100,kept
42,408627798,100,kept
42,401421773,100,kept
42,269352455,100,kept
42,439850231,100,kept
43,150172502,100,kept
43,246936758,100,kept
43,365109059,100,kept
43,246931528,100,kept
43,302201704,100,kept
43,81638171,100,kept
43,365111715,100,kept
43,303339165,100,kept
43,79519247,100,kept
43,2776520,100,kept
44,58285917,100,kept
44,268326514,100,kept
44,435881346,100,kept
44,255662826,100,kept
44,84355127,100,kept
44,740650432,100,kept
44,14107735,100,kept
44,247410845,100,kept
44,116859605,100,kept
44,60995046,100,kept
45,323493410,100,kept
